epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,207.056,0.35384,0.31108,0.82142,0.99103,1,0.995,0.97082,0.27563,0.18221,0.74218,0.0002378,0.0002378,0.0002378
91,221.101,0.246,0.22393,0.80523,0.99101,1,0.995,0.9778,0.2667,0.1743,0.7404,0.000218,0.000218,0.000218
92,224.471,0.24525,0.21648,0.76974,0.99106,1,0.995,0.995,0.26994,0.16269,0.73939,0.0001982,0.0001982,0.0001982
93,227.481,0.24735,0.21822,0.82005,0.991,1,0.995,0.995,0.26751,0.15825,0.73929,0.0001784,0.0001784,0.0001784
94,230.353,0.23812,0.21293,0.7941,0.99094,1,0.995,0.995,0.27304,0.1557,0.73951,0.0001586,0.0001586,0.0001586
95,233.466,0.2194,0.20968,0.76768,0.99094,1,0.995,0.995,0.27962,0.16916,0.74096,0.0001388,0.0001388,0.0001388
96,236.265,0.22474,0.20464,0.74932,0.99095,1,0.995,0.995,0.28737,0.16517,0.74208,0.000119,0.000119,0.000119
97,238.956,0.20541,0.19704,0.7557,0.99104,1,0.995,0.96533,0.28392,0.17391,0.74182,9.92e-05,9.92e-05,9.92e-05
98,241.709,0.21723,0.19405,0.78823,0.99104,1,0.995,0.96521,0.28019,0.16724,0.74183,7.94e-05,7.94e-05,7.94e-05
99,244.314,0.23089,0.19926,0.78882,0.99114,1,0.995,0.995,0.27634,0.17014,0.74142,5.96e-05,5.96e-05,5.96e-05
100,247.162,0.22364,0.19489,0.79577,0.99106,1,0.995,0.995,0.27515,0.16844,0.74089,3.98e-05,3.98e-05,3.98e-05
